teryt_simc_code,prg_street_name,osm_street_name
,Dr. Ludwika Wiśniewskiego,Doktora Ludwika Wiśniewskiego
,dr. Ludwika Zamenhofa,Doktora Ludwika Zamenhofa
,dr. M. Bojasińskiego,Doktora Michała Bojasińskiego
,dr. M. Chełmońskiego,Doktora Mateusza Chełmońskiego
,dr. Maksymiliana Cichego,Doktora Maksymiliana Cichego
,dr. Maksymiliana Kronlanda,Doktora Maksymiliana Kronlanda
,dr. Mariana Piaseckiego,Doktora Mariana Piaseckiego
,dr. Michała Ilczyszyna,Doktora Michała Ilczyszyna
,dr. Mieczysława Kowalskiego,Doktora Mieczysława Kowalskiego
,dr. Pawła Olszewskiego,Doktora Pawła Olszewskiego
,dr. Poziomskiego,Doktora Witolda Poziomskiego
,dr. Rydygiera,Doktora Ludwika Rydygiera
,dr. S. Kwaska,Doktora Stefana Kwaska
,dr. Seweryna Matuszewskiego,Doktora Seweryna Matuszewskiego
,Dr. Seweryna Mściwujewskiego,Doktora Seweryna Mściwujewskiego
,dr. Seweryna Sterlinga,Doktora Seweryna Sterlinga
,Dr. Stanisława Dorantta,Doktora Stanisława Dorantta
,dr. Stanisława Jezierskiego,Doktora Stanisława Jezierskiego
,dr. Stanisława Kryzana,Doktora Stanisława Kryzana
,dr. Stanisława Markowskiego,Doktora Stanisława Markowskiego
,Dr. Stanisława Pawłowskiego,Doktora Stanisława Pawłowskiego
,dr. Stanisława Pojaska,Doktora Stanisława Pojaska
,dr. Stanisława Skudry,Doktora Stanisława Skudry
,dr. Stanisława Witka,Doktora Stanisława Witka
,dr. Sz. M. Klarnera,Doktora Szymona Klarnera
,dr. Tadeusza Bilikiewicza,Doktora Tadeusza Bilikiewicza
,dr. Tadeusza Kosibowicza,Doktora Tadeusza Kosibowicza
,dr. Tadeusza Rakowieckiego,Doktora Tadeusza Rakowieckiego
,dr. Tadeusza Tyszkiewicza,Doktora Tadeusza Tyszkiewicza
,dr. Tadeusza Wagnera,Doktora Tadeusza Wagnera
,dr. Teofila Rzepnikowskiego,Doktora Teofila Rzepnikowskiego
,dr. Teofila Zegarskiego,Doktora Teofila Zegarskiego
,dr. Tytusa Chałubińskiego,Doktora Tytusa Chałubińskiego
,dr. Wacława Bendowskiego,Doktora Wacława Bendowskiego
,Dr. Wiktora Łabędzkiego,Doktora Wiktora Łabędzkiego
,dr. Witolda Antesa,Doktora Witolda Antesa
,dr. Witolda Eichlera,Doktora Witolda Eichlera
